,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
47,48,qtls_li_hq,0.5,Additive,0.6815375426848026,0.05957797977963782,10002,11044.3240234375,9826
48,49,qtls_li_hq,0.6,Additive,0.6861827883104367,0.05768719815570974,7989,13396.275390625,11844
49,50,qtls_li_hq,0.6,Additive,0.6957695170173892,0.058395679791231205,8022,13256.9650390625,11813
50,51,qtls_li_hq,0.6,Additive,0.6904159875960681,0.059390335573259276,8030,13264.911328125,11807
51,52,qtls_li_hq,0.7,Additive,0.6881947129203401,0.05842905533622182,5971,15614.1853515625,13863
52,53,qtls_li_hq,0.7,Additive,0.676928230136508,0.0603049333713842,5864,15675.9091796875,13971
53,54,qtls_li_hq,0.7,Additive,0.6931609853144347,0.05850593084975578,5918,15708.344921875,13917
54,55,qtls_li_hq,0.8,Additive,0.6840029447625837,0.059792327169874704,4011,17886.6751953125,15824
55,56,qtls_li_hq,0.8,Additive,0.6780877309488976,0.05981319844005334,3978,18001.2744140625,15856
56,57,qtls_li_hq,0.8,Additive,0.7015807175831072,0.056509155321199586,3993,17920.058984375,15841
57,58,qtls_li_hq,0.9,Additive,0.6952821690983777,0.05897429413786776,2004,20192.70859375,17830
58,59,qtls_li_hq,0.9,Additive,0.6667229934799861,0.06012406200586544,1917,20326.814453125,17917
59,60,qtls_li_hq,0.9,Additive,0.6852690979545142,0.05985454144254435,2008,20158.67421875,17828
60,1,qtls_li_hq,0.001,Pairwise,0.014788828782128291,0.12255482968888244,10001,19.389823150634765,23
61,2,qtls_li_hq,0.001,Pairwise,0.03651063627837009,0.1249424923439482,10004,8.690049362182616,13
62,3,qtls_li_hq,0.001,Pairwise,0.001690613637217732,0.12416487457574828,10001,15.359826278686523,20
63,4,qtls_li_hq,0.0025,Pairwise,0.025877692658569543,0.13141493626378795,10002,51.14567108154297,49
64,5,qtls_li_hq,0.0025,Pairwise,0.08027784866292048,0.1311490615824466,10002,41.45722885131836,47
65,6,qtls_li_hq,0.0025,Pairwise,0.1336874211236252,0.10541597003394965,10001,44.68185653686523,56
66,7,qtls_li_hq,0.005,Pairwise,0.33008621924176534,0.10885740151223436,10004,93.3330581665039,113
67,8,qtls_li_hq,0.005,Pairwise,0.1948858801373307,0.11883647479256491,10003,87.71766815185546,105
68,9,qtls_li_hq,0.005,Pairwise,0.2170605279654185,0.11771785058496102,10002,85.62132415771484,103
69,10,qtls_li_hq,0.01,Pairwise,0.32503587134274337,0.11003593979915005,10002,176.95057983398436,195
70,11,qtls_li_hq,0.01,Pairwise,0.3059065737548981,0.11148062296829465,10003,186.310986328125,205
71,12,qtls_li_hq,0.01,Pairwise,0.272919843213491,0.11337801790103745,10004,207.31724853515624,213
72,13,qtls_li_hq,0.025,Pairwise,0.5948117076806074,0.0810141581099262,10002,479.1729736328125,481
73,14,qtls_li_hq,0.025,Pairwise,0.5820171596655173,0.0808985385498356,10003,452.6809509277344,466
74,15,qtls_li_hq,0.025,Pairwise,0.6043561781000121,0.07476380058361429,10002,468.5699768066406,498
75,16,qtls_li_hq,0.05,Pairwise,0.6637475734435928,0.06428874944532448,10005,1034.8678955078126,1036
