,id,dataset,p_training,model,r2,rmse,n_test,mll,n_train
136,17,gb1,0.05,Pairwise,0.7310866740386149,0.8559666368481464,10000,-10633.2462890625,7482
137,18,gb1,0.05,Pairwise,0.7320031353046864,0.8544882224386711,10000,-10607.696875,7391
138,19,gb1,0.075,Pairwise,0.72768289435004,0.8347063327743504,10000,-15299.34853515625,11104
139,20,gb1,0.075,Pairwise,0.744192556644371,0.8284926647099164,10000,-15336.5953125,11150
140,21,gb1,0.075,Pairwise,0.7466967821540297,0.828484784181837,10000,-15271.626171875,11157
141,22,gb1,0.1,Pairwise,0.7512689482629644,0.8239810689725976,10000,-19967.818359375,14956
142,23,gb1,0.1,Pairwise,0.7638526181258033,0.7991624103226174,10000,-19945.4615234375,14960
143,24,gb1,0.1,Pairwise,0.7556428019599987,0.8154435263786765,10000,-20018.215625,15066
144,25,gb1,0.125,Pairwise,0.7568491971983894,0.8004212331812751,10000,-24592.0609375,18770
145,26,gb1,0.125,Pairwise,0.757303009327428,0.8059316977267995,10000,-24455.4224609375,18544
146,27,gb1,0.125,Pairwise,0.767661724768254,0.7948166337863617,10000,-24537.3546875,18680
147,28,gb1,0.15,Pairwise,0.7770889570745301,0.7803119116796305,10000,-29173.771484375,22438
148,29,gb1,0.15,Pairwise,0.7676965932755248,0.7942716747541594,10000,-28601.5365234375,22159
149,30,gb1,0.15,Pairwise,0.7652529085970011,0.7872671507698911,10000,-28917.390234375,22505
150,31,gb1,0.175,Pairwise,0.7699017035017223,0.7798374332791859,10000,-33243.099609375,26037
151,32,gb1,0.175,Pairwise,0.7665613413091094,0.7887320539977458,10000,-33851.530078125,26332
152,33,gb1,0.175,Pairwise,0.766588572482274,0.7800625325224914,10000,-33776.828125,26306
153,34,gb1,0.2,Pairwise,0.7774910183608029,0.782608530106363,10000,-37716.95390625,29831
154,35,gb1,0.2,Pairwise,0.7625532986974627,0.7932290929363186,10000,-37555.776953125,29988
155,36,gb1,0.2,Pairwise,0.7801694432478121,0.7804319136144995,10000,-37597.521875,29813
156,37,gb1,0.25,Pairwise,0.7685605435721433,0.7891027889693293,10000,-46617.15625,37528
157,38,gb1,0.25,Pairwise,0.7747838206014819,0.7842405244618018,10000,-46562.31640625,37361
158,39,gb1,0.25,Pairwise,0.7723480748180709,0.7961798148703921,10000,-46465.096875,37214
159,40,gb1,0.3,Pairwise,0.7755955859567962,0.7707670186079241,10000,-55413.204296875,45157
160,41,gb1,0.3,Pairwise,0.7769791004143102,0.7804868061092894,10000,-55388.59609375,44865
161,42,gb1,0.3,Pairwise,0.775765549968892,0.7737433838825398,10000,-55341.6390625,45008
162,43,gb1,0.4,Pairwise,0.7718223208991808,0.7854556992924615,10000,-71919.79375,59451
163,44,gb1,0.4,Pairwise,0.7823362380742507,0.7727620982391128,10000,-71700.478125,59512
164,45,gb1,0.4,Pairwise,0.7792591507585963,0.7778427959300378,10000,-72042.709375,59671
165,46,gb1,0.5,Pairwise,0.7758272970340293,0.790407551455014,10000,-89149.54453125,74349
166,47,gb1,0.5,Pairwise,0.7901330790628389,0.7696968338378224,10000,-89415.75390625,74766
167,48,gb1,0.5,Pairwise,0.7773214310773781,0.7667629731735257,10000,-89233.6765625,74805
168,49,gb1,0.6,Pairwise,0.780493939976234,0.7640064017277155,10000,-106865.1609375,89820
169,50,gb1,0.6,Pairwise,0.7761321749504568,0.7723492713829468,10000,-106304.3625,89212
170,51,gb1,0.6,Pairwise,0.7862234064054608,0.7659047705773474,10000,-106882.4125,90008
171,52,gb1,0.7,Pairwise,0.7843655608800076,0.7616117105502285,10000,-123203.15703125,104328
172,53,gb1,0.7,Pairwise,0.7892271362427824,0.7681648356057121,10000,-124091.07109375,104835
173,54,gb1,0.7,Pairwise,0.7851506879629899,0.7745328854621745,10000,-123460.8125,104525
174,55,gb1,0.8,Pairwise,0.7879233711461253,0.7703768871827781,10000,-140364.609375,119593
175,56,gb1,0.8,Pairwise,0.7795671817354067,0.7728273039918212,10000,-140374.2640625,119733
176,57,gb1,0.8,Pairwise,0.7896665962709768,0.760810231531832,10000,-140433.9921875,119356
177,58,gb1,0.9,Pairwise,0.7833642124970689,0.7672021934279399,10000,-156969.9078125,134456
178,59,gb1,0.9,Pairwise,0.7887130191501333,0.7636371377758213,10000,-157017.0859375,134433
179,60,gb1,0.9,Pairwise,0.7805503021904403,0.767124911629355,10000,-156943.5203125,134387
180,1,gb1,0.001,Variance Component,0.3171742683952642,1.38017915715413,10000,-277.90892333984374,142
181,2,gb1,0.001,Variance Component,0.3126922700799785,1.343640523591023,10000,-256.0548095703125,139
182,3,gb1,0.001,Variance Component,0.19606219476199452,1.4747798868656805,10000,-270.7175994873047,158
183,4,gb1,0.0025,Variance Component,0.40497099371652373,1.2974541457938722,10000,-610.4162841796875,352
184,5,gb1,0.0025,Variance Component,0.4038457671131706,1.2198571489484498,10000,-629.7291564941406,350
185,6,gb1,0.0025,Variance Component,0.4022247338876765,1.263291772075648,10000,-664.662255859375,349
186,7,gb1,0.005,Variance Component,0.431621005223544,1.201899532535323,10000,-1345.6527954101562,754
187,8,gb1,0.005,Variance Component,0.4476775160186912,1.229464209444087,10000,-1365.1931640625,764
188,9,gb1,0.005,Variance Component,0.43971090824580694,1.2188238661691788,10000,-1344.5417846679688,743
189,10,gb1,0.01,Variance Component,0.4650829585981502,1.1923771066643223,10000,-2634.6539306640625,1522
190,11,gb1,0.01,Variance Component,0.47185400268602096,1.1783902392546604,10000,-2586.024072265625,1496
191,12,gb1,0.01,Variance Component,0.4568671864815403,1.183543582374047,10000,-2421.505322265625,1434
192,13,gb1,0.025,Variance Component,0.6606093115986875,0.9402737668940845,10000,-5640.07265625,3710
193,14,gb1,0.025,Variance Component,0.6824245565075941,0.9266342645017861,10000,-5831.46640625,3833
194,15,gb1,0.025,Variance Component,0.6722566827223941,0.9362226526371314,10000,-5560.437060546875,3677
195,16,gb1,0.05,Variance Component,0.7340986568287896,0.8294091510755973,10000,-10745.27822265625,7620
196,17,gb1,0.05,Variance Component,0.7417257938692564,0.839326773840812,10000,-10584.48955078125,7482
197,18,gb1,0.05,Variance Component,0.7426952657792683,0.8361188668401841,10000,-10557.96103515625,7391
198,19,gb1,0.075,Variance Component,0.7451412707828838,0.8115207140847028,10000,-15112.6021484375,11104
199,20,gb1,0.075,Variance Component,0.7591979439694038,0.804789946124251,10000,-15156.15048828125,11150
200,21,gb1,0.075,Variance Component,0.759553080523998,0.8085723076050434,10000,-15104.8423828125,11157
201,22,gb1,0.1,Variance Component,0.7736739803417377,0.7825582725410126,10000,-19675.378515625,14956
202,23,gb1,0.1,Variance Component,0.7820770165353379,0.7691142124598884,10000,-19601.262890625,14960
203,24,gb1,0.1,Variance Component,0.7749622856504782,0.78422275388919,10000,-19695.7404296875,15066
204,25,gb1,0.125,Variance Component,0.7798500461956813,0.7587072280480258,10000,-24104.7779296875,18770
205,26,gb1,0.125,Variance Component,0.7826694170947238,0.7644696322172496,10000,-23960.350390625,18544
206,27,gb1,0.125,Variance Component,0.7921153420357441,0.7532333934792663,10000,-24022.1740234375,18680
207,28,gb1,0.15,Variance Component,0.8008582281217413,0.7398624017149666,10000,-28450.8150390625,22438
208,29,gb1,0.15,Variance Component,0.7945057603556713,0.7514074415187101,10000,-27855.570703125,22159
209,30,gb1,0.15,Variance Component,0.7937431309225335,0.7389338651862267,10000,-28111.494921875,22505
210,31,gb1,0.175,Variance Component,0.7995032774158013,0.7316181395959718,10000,-32201.6939453125,26037
211,32,gb1,0.175,Variance Component,0.7983826357231267,0.7338150830151832,10000,-32514.9853515625,26332
212,33,gb1,0.175,Variance Component,0.7946671505283236,0.7334514594217146,10000,-32575.2771484375,26306
